State,State ANSI,County,County ANSI,Zip Code,Data Item,Value
GEORGIA,13,HOUSTON,153,,SORGHUM - OPERATIONS WITH SALES,2
GEORGIA,13,HOUSTON,153,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,LAURENS,175,,SORGHUM - OPERATIONS WITH SALES,6
GEORGIA,13,LAURENS,175,,"SORGHUM - SALES, MEASURED IN $","174,000"
GEORGIA,13,MORGAN,211,,SORGHUM - OPERATIONS WITH SALES,2
GEORGIA,13,MORGAN,211,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,NEWTON,217,,SORGHUM - OPERATIONS WITH SALES,3
GEORGIA,13,NEWTON,217,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,PUTNAM,237,,SORGHUM - OPERATIONS WITH SALES,2
GEORGIA,13,PUTNAM,237,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,TWIGGS,289,,SORGHUM - OPERATIONS WITH SALES,2
GEORGIA,13,TWIGGS,289,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,WASHINGTON,303,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,WASHINGTON,303,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,WHEELER,309,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,WHEELER,309,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,BULLOCH,31,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,BULLOCH,31,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,BURKE,33,,SORGHUM - OPERATIONS WITH SALES,7
GEORGIA,13,BURKE,33,,"SORGHUM - SALES, MEASURED IN $","44,000"
GEORGIA,13,CANDLER,43,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,CANDLER,43,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,COLUMBIA,73,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,COLUMBIA,73,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,EMANUEL,107,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,EMANUEL,107,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,JEFFERSON,163,,SORGHUM - OPERATIONS WITH SALES,6
GEORGIA,13,JEFFERSON,163,,"SORGHUM - SALES, MEASURED IN $","298,000"
GEORGIA,13,JENKINS,165,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,JENKINS,165,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,SCREVEN,251,,SORGHUM - OPERATIONS WITH SALES,6
