time,latitude,longitude,tmpsfc,tmp2m,ugrd10m,vgrd10m
UTC,degrees_north,degrees_east,K,K,m s-1,m s-1
2023-01-31T12:00:00Z,25,95,294.97995,295.3442,0.75338864,-0.5561865
2023-01-31T12:00:00Z,25,100,282.97995,284.6442,1.6333886,1.6438135
2023-01-31T12:00:00Z,25,105,282.67996,284.2442,-1.7266113,0.55381346
2023-01-31T12:00:00Z,25,110,286.87997,287.9242,1.1633886,1.1238135
2023-01-31T12:00:00Z,25,115,284.77997,286.1742,-1.3466113,2.4038134
2023-01-31T12:00:00Z,25,120,288.27997,287.06418,-0.7866113,0.28381348
2023-01-31T12:00:00Z,25,125,294.77997,292.8642,-2.9466112,6.103813
2023-01-31T12:00:00Z,25,130,295.47995,291.8342,-4.8166113,2.3238134
2023-01-31T12:00:00Z,30,60,291.97995,289.8442,3.9133885,10.683813
2023-01-31T12:00:00Z,30,65,289.77997,289.8342,-1.3866113,4.4638133
2023-01-31T12:00:00Z,30,70,289.67996,287.5142,-1.2366112,1.4438134
2023-01-31T12:00:00Z,30,75,290.47995,291.7042,1.1433886,-3.3961864
2023-01-31T12:00:00Z,30,80,279.57996,282.41418,1.2333887,0.043813474
2023-01-31T12:00:00Z,30,85,260.87997,259.75418,5.2133884,8.943813
2023-01-31T12:00:00Z,30,90,263.67996,265.9642,6.5033884,6.373813
2023-01-31T12:00:00Z,30,95,273.27997,273.9842,0.32338867,1.9038135
2023-01-31T12:00:00Z,30,100,269.27997,271.9242,0.94338864,2.7838135
2023-01-31T12:00:00Z,30,105,284.87997,287.0842,-0.3266113,-0.28618652
2023-01-31T12:00:00Z,30,110,278.37997,279.9842,-0.3266113,0.79381347
2023-01-31T12:00:00Z,30,115,283.97995,287.0942,-1.2966113,0.85381347
2023-01-31T12:00:00Z,30,120,281.37997,284.1142,0.10338867,0.67381346
2023-01-31T12:00:00Z,30,125,286.77997,287.1042,3.0033886,6.2238135
2023-01-31T12:00:00Z,30,130,294.17996,288.5242,3.6933887,1.6838135
2023-01-31T12:00:00Z,35,60,281.67996,279.25418,-1.3566113,5.4238133
2023-01-31T12:00:00Z,35,65,269.37997,270.5442,-2.5666113,2.9638133
2023-01-31T12:00:00Z,35,70,263.17996,267.00418,-0.6866113,-0.22618651
2023-01-31T12:00:00Z,35,75,247.47997,255.60419,-1.4366113,1.1438135
2023-01-31T12:00:00Z,35,80,260.67996,259.1842,10.233389,4.583813
2023-01-31T12:00:00Z,35,85,261.97995,262.75418,12.523389,4.2338133
2023-01-31T12:00:00Z,35,90,262.27997,264.81418,6.0333886,1.9538134
2023-01-31T12:00:00Z,35,95,264.87997,269.81418,6.9833884,1.7138134
2023-01-31T12:00:00Z,35,100,267.57996,272.41418,3.0733886,0.60381347
2023-01-31T12:00:00Z,35,105,272.67996,275.4842,0.11338867,-1.7361865
2023-01-31T12:00:00Z,35,110,277.87997,281.0942,-0.17661132,-1.3161865
2023-01-31T12:00:00Z,35,115,280.97995,283.5942,-2.4266112,-2.4161866
2023-01-31T12:00:00Z,35,120,277.67996,279.3242,-1.9666113,1.9638134
2023-01-31T12:00:00Z,35,125,281.27997,282.4542,3.0733886,3.2438135
2023-01-31T12:00:00Z,35,130,287.27997,283.5842,6.1933885,6.433813
2023-01-31T12:00:00Z,40,60,283.77997,284.6742,-5.896611,0.70381343
2023-01-31T12:00:00Z,40,65,278.87997,282.00418,-3.6066113,1.1038134
2023-01-31T12:00:00Z,40,70,271.57996,274.1442,-2.4066112,1.2538135
2023-01-31T12:00:00Z,40,75,249.97997,257.56418,2.4433887,-1.7461865
2023-01-31T12:00:00Z,40,80,268.87997,271.25418,-1.4166113,0.92381346
2023-01-31T12:00:00Z,40,85,270.17996,271.4542,-0.8566113,-0.49618652
2023-01-31T12:00:00Z,40,90,271.07996,272.1142,0.68338865,-0.8061865
2023-01-31T12:00:00Z,40,95,267.17996,267.4042,-0.5966113,-0.34618652
2023-01-31T12:00:00Z,40,100,266.17996,268.0742,-0.5566113,-0.30618653
2023-01-31T12:00:00Z,40,105,267.37997,268.41418,-2.1866112,-2.4261866
2023-01-31T12:00:00Z,40,110,266.77997,267.4642,0.75338864,-8.046186
2023-01-31T12:00:00Z,40,115,264.17996,265.7442,5.0633883,-3.3061864
2023-01-31T12:00:00Z,40,120,272.57996,275.0542,3.4033885,-2.3161864
2023-01-31T12:00:00Z,40,125,264.67996,266.0542,0.03338867,-1.2161865
2023-01-31T12:00:00Z,40,130,279.47995,277.2642,7.8533883,1.3638134
2023-01-31T12:00:00Z,45,60,279.07996,276.4542,-7.156611,0.24381347
2023-01-31T12:00:00Z,45,65,273.67996,275.5842,-3.3766112,-0.7461865
2023-01-31T12:00:00Z,45,70,267.17996,270.6342,-1.3866113,-0.9661865
2023-01-31T12:00:00Z,45,75,263.67996,267.2142,0.70338863,-1.1261865
2023-01-31T12:00:00Z,45,80,251.07996,256.9642,-0.28661132,2.3938134
2023-01-31T12:00:00Z,45,85,255.17996,258.1242,-1.1666113,-1.8461865
2023-01-31T12:00:00Z,45,90,255.57996,259.2042,-0.8066113,-2.5261865
2023-01-31T12:00:00Z,45,95,259.27997,262.9242,-0.37661132,1.7238134
2023-01-31T12:00:00Z,45,100,260.57996,261.97418,-0.6266113,2.4838135
2023-01-31T12:00:00Z,45,105,255.67996,259.3342,-0.4166113,-1.0161865
2023-01-31T12:00:00Z,45,110,258.77997,261.4942,1.4733887,-4.1961865
2023-01-31T12:00:00Z,45,115,255.07996,257.03418,4.8133883,-7.5061865
2023-01-31T12:00:00Z,45,120,260.37997,261.8542,5.2733884,-7.2061863
2023-01-31T12:00:00Z,45,125,262.07996,262.4642,-0.9366113,-0.6361865
2023-01-31T12:00:00Z,45,130,254.07996,255.4242,-0.63661134,-1.1061865
2023-01-31T12:00:00Z,50,60,254.67996,258.3242,-1.0866113,1.1938134
2023-01-31T12:00:00Z,50,65,253.27995,257.0442,-1.3566113,-0.8861865
2023-01-31T12:00:00Z,50,70,251.27995,257.4042,-0.89661133,-0.6361865
2023-01-31T12:00:00Z,50,75,264.37997,266.4542,1.1033887,-0.026186522
2023-01-31T12:00:00Z,50,80,259.87997,261.8642,-2.7566113,2.7338135
2023-01-31T12:00:00Z,50,85,253.47997,259.50418,-2.3566113,-0.4761865
2023-01-31T12:00:00Z,50,90,246.77995,253.65419,2.8433886,-1.3861865
2023-01-31T12:00:00Z,50,95,241.07996,245.5942,0.31338868,0.57381344
2023-01-31T12:00:00Z,50,100,246.17996,249.90419,0.8333886,-0.30618653
2023-01-31T12:00:00Z,50,105,249.47997,252.54419,2.0333886,-0.6561865
2023-01-31T12:00:00Z,50,110,252.27995,253.0242,4.4833884,-1.4561865
2023-01-31T12:00:00Z,50,115,257.47995,259.9042,7.2633886,-8.146186
2023-01-31T12:00:00Z,50,120,252.47997,253.8042,1.5533886,-0.8061865
2023-01-31T12:00:00Z,50,125,246.37996,248.57419,0.14338867,-1.3461865
2023-01-31T12:00:00Z,50,130,241.97997,245.2242,-0.3566113,-1.0261865
2023-02-15T12:00:00Z,20,60,297.65778,297.52914,-3.1307056,0.23802733
2023-02-15T12:00:00Z,20,65,297.05777,297.01913,-1.8907055,-3.7019725
2023-02-15T12:00:00Z,20,70,298.35776,298.92914,1.3692944,-2.3119726
2023-02-15T12:00:00Z,20,75,304.55777,304.80914,-1.7407055,-4.8319726
2023-02-15T12:00:00Z,20,80,302.05777,303.98914,0.52929443,-3.4419725
2023-02-15T12:00:00Z,20,85,299.05777,301.94913,-1.2407055,-0.64197266
2023-02-15T12:00:00Z,20,90,298.25778,296.53912,0.40929443,-0.18197265
2023-02-15T12:00:00Z,20,95,298.55777,301.58914,1.6692944,2.8380272
2023-02-15T12:00:00Z,20,100,297.65778,298.98914,-0.42070556,1.8280272
2023-02-15T12:00:00Z,20,105,284.55777,284.72913,-1.1207055,0.23802733
2023-02-15T12:00:00Z,20,110,291.85776,290.63913,-6.7307053,-1.6019726
